model	mode	MB	licence	sha256	url
EOS M50	CRAW (3:2)	19.98	co	15384b775867ec4c42b11882837f1e368cedc0561832ffab271221e6bb80be4c	https://raw.pixls.us/getfile.php/2663/nice/Canon - EOS M50 - CRAW (3:2).CR3
PowerShot SX70 HS	RAW, 4:3 (4:3)	28.37	co	3b346078836f933f505338ba45965be17a39cac82bfffc7006db07e3af944839	https://raw.pixls.us/getfile.php/3276/nice/Canon - PowerShot SX70 HS - RAW, 4:3 (4:3).CR3
PowerShot SX70 HS	RAW, 3:2 (3:2)	27.97	co	26d5f6deebb65e5a544d7d1b7706dca2bb8b06642065aa725c1394054e9b717d	https://raw.pixls.us/getfile.php/3277/nice/Canon - PowerShot SX70 HS - RAW, 3:2 (3:2).CR3
PowerShot SX70 HS	RAW, 16:9 (16:9)	28.88	co	1b2b52b08f8a0701fccd6c9371cd5160105db8b6cbcd0b8e8ada47d680aac30c	https://raw.pixls.us/getfile.php/3278/nice/Canon - PowerShot SX70 HS - RAW, 16:9 (16:9).CR3
PowerShot SX70 HS	RAW, 1:1 (1:1)	28.65	co	ca34fd5a464ddcca13ff66376da685630045e82050af3136570c7f804bc130c8	https://raw.pixls.us/getfile.php/3279/nice/Canon - PowerShot SX70 HS - RAW, 1:1 (1:1).CR3
PowerShot SX70 HS	C-RAW, 4:3 (4:3)	19.59	co	ab5a2da7ee80c2ef2ae05bda30b0e70c1fad81e81f6d1994aeb520b83ef662c1	https://raw.pixls.us/getfile.php/3280/nice/Canon - PowerShot SX70 HS - C-RAW, 4:3 (4:3).CR3
PowerShot SX70 HS	C-RAW, 3:2 (3:2)	19.89	co	5c37f0d865c79e22156f684281773dc4bf550f8ae1bfce2acc23cacb07a7893c	https://raw.pixls.us/getfile.php/3281/nice/Canon - PowerShot SX70 HS - C-RAW, 3:2 (3:2).CR3
PowerShot SX70 HS	C-RAW, 16:9 (16:9)	19.87	co	fad9653d691d002bc2de4f1e98366e6031351412fd45523d2cd753fbc4645e62	https://raw.pixls.us/getfile.php/3282/nice/Canon - PowerShot SX70 HS - C-RAW, 16:9 (16:9).CR3
PowerShot SX70 HS	C-RAW, 1:1 (1:1)	19.40	co	fef71beb2df8bd94ccf2bd9783e8d696a59f71cce494f94aca4c122fed911e1a	https://raw.pixls.us/getfile.php/3284/nice/Canon - PowerShot SX70 HS - C-RAW, 1:1 (1:1).CR3
EOS Kiss M	3:2	26.30	co	49a4bcd16e0236451b73ae052af8a4d0c9872063f79fc62fdf982d462792741c	https://raw.pixls.us/getfile.php/3332/nice/Canon - EOS Kiss M - 3:2.CR3
EOS 250D	C-RAW (1:1)	13.42	co	7ece52df8b7ed868e6c6096e6a28f807694768cc045383c541e9707f1a669a5d	https://raw.pixls.us/getfile.php/3382/nice/Canon - EOS 250D - C-RAW (1:1).CR3
EOS 250D	C-RAW (3:2)	14.10	co	69bdd267defb3d676f41f62a5e5ea65651669a04191cf4e89740917c59cedbcc	https://raw.pixls.us/getfile.php/3383/nice/Canon - EOS 250D - C-RAW (3:2).CR3
EOS 250D	C-RAW (4:3)	14.24	co	b55eb1a78810ebbfbed5c9a2639a739fee10e93e03f67d239a4708062603de2a	https://raw.pixls.us/getfile.php/3384/nice/Canon - EOS 250D - C-RAW (4:3).CR3
EOS 250D	C-RAW (16:9)	13.78	co	e81963db1ee6df76bb10fd536b3646cede277f2ca8b26895b1b34debafa03fc4	https://raw.pixls.us/getfile.php/3385/nice/Canon - EOS 250D - C-RAW (16:9).CR3
EOS 250D	RAW (1:1)	25.89	co	1af771b745999f058c89d70514a154007480bdcea0cd6ca7db14f65e6a422a6b	https://raw.pixls.us/getfile.php/3386/nice/Canon - EOS 250D - RAW (1:1).CR3
EOS 250D	RAW (3:2)	25.64	co	ed1bd1bb8dbcf31735fbe52eeabdbd3a32236eda9cb20b132e8847cb0d89517f	https://raw.pixls.us/getfile.php/3387/nice/Canon - EOS 250D - RAW (3:2).CR3
EOS 250D	RAW (4:3)	25.44	co	3ab8d63285f9a5b5c5d76641847cdb14162a7d2968d78f597aedb2e08e902012	https://raw.pixls.us/getfile.php/3388/nice/Canon - EOS 250D - RAW (4:3).CR3
EOS 250D	RAW (16:9)	25.77	co	fc07c0e502bd9d945e510b33d1c20b5b996a487547a642a218b0660a499ec09a	https://raw.pixls.us/getfile.php/3389/nice/Canon - EOS 250D - RAW (16:9).CR3
PowerShot G5 X Mark II	C-RAW (1:1)	16.12	co	7d1160f4c7159dd30daae7a99a575d0c37dc11493aa6c796e1ff9e504c2bdd8f	https://raw.pixls.us/getfile.php/3505/nice/Canon - PowerShot G5 X Mark II - C-RAW (1:1).CR3
PowerShot G5 X Mark II	C-RAW (3:2)	15.89	co	16d7b944344004c866bf2f84c5673969e76adfe16e5fb4388da48c72bdd58058	https://raw.pixls.us/getfile.php/3506/nice/Canon - PowerShot G5 X Mark II - C-RAW (3:2).CR3
PowerShot G5 X Mark II	C-RAW (4:3)	15.63	co	53eec9eecf1a7270b06750efe73f90712d5649ab50e41a7310d37c3097689e54	https://raw.pixls.us/getfile.php/3507/nice/Canon - PowerShot G5 X Mark II - C-RAW (4:3).CR3
PowerShot G5 X Mark II	C-RAW (16:9)	14.65	co	71b2f703c09be153e48ff0075772f19ea0a2c2e81acc08d11e0a979ba79f07ce	https://raw.pixls.us/getfile.php/3508/nice/Canon - PowerShot G5 X Mark II - C-RAW (16:9).CR3
PowerShot G5 X Mark II	RAW (1:1)	25.73	co	13bc9926954dd62f2b84c1539428554754c078953c7af9baa5650cb85237aec8	https://raw.pixls.us/getfile.php/3509/nice/Canon - PowerShot G5 X Mark II - RAW (1:1).CR3
PowerShot G5 X Mark II	RAW (3:2)	26.80	co	16f69a73e25e0555259a942d65be816042dcb3af03505b25335e5d02ad6f2af6	https://raw.pixls.us/getfile.php/3510/nice/Canon - PowerShot G5 X Mark II - RAW (3:2).CR3
PowerShot G5 X Mark II	RAW (4:3)	25.21	co	322c8e0765513e94071fc84fa29c39ba6cbd5fd70be1a657d7d7fe55dbd54fc9	https://raw.pixls.us/getfile.php/3511/nice/Canon - PowerShot G5 X Mark II - RAW (4:3).CR3
PowerShot G5 X Mark II	RAW (16:9)	24.18	co	feb0ece1244ba45f179f48ad1a52c887e6042a605927156d9b944d1305f10d59	https://raw.pixls.us/getfile.php/3512/nice/Canon - PowerShot G5 X Mark II - RAW (16:9).CR3
EOS M6 Mark II	C-RAW (1:1)	32.03	co	0ccbb6c447d0fab996291be9a5c2728cd7367bcc2f640e2a30eae112e13e6c0e	https://raw.pixls.us/getfile.php/3711/nice/Canon - EOS M6 Mark II - C-RAW (1:1).CR3
EOS M6 Mark II	RAW (3:2)	46.16	co	48be4fbcc36e4f9bf31dd63ba7f97aa906a39b29f6b2caa679506c4cdb20f5a7	https://raw.pixls.us/getfile.php/3713/nice/Canon - EOS M6 Mark II - RAW (3:2).CR3
EOS M6 Mark II	C-RAW (3:2)	30.12	co	94635c6f91e7d743cee6881cc2519992ae9f9031fd86b49e5d0f16edf5961b55	https://raw.pixls.us/getfile.php/3714/nice/Canon - EOS M6 Mark II - C-RAW (3:2).CR3
EOS M6 Mark II	RAW (4:3)	47.21	co	8b41dbeadb91c44e596da5fef935fe3acb2154c06afb11123b3079da79a5ec51	https://raw.pixls.us/getfile.php/3715/nice/Canon - EOS M6 Mark II - RAW (4:3).CR3
EOS M6 Mark II	C-RAW (4:3)	32.43	co	9bb482b003a0749af615a9b3e52616b01a2ad2794a2d9fe47fafcf6bdcb9a35a	https://raw.pixls.us/getfile.php/3716/nice/Canon - EOS M6 Mark II - C-RAW (4:3).CR3
EOS M6 Mark II	RAW (16:9)	46.12	co	4f89f3770c794a0ca5af86b84f1f694eb5a0f553b64f85fc1ba3ddf412a211b8	https://raw.pixls.us/getfile.php/3717/nice/Canon - EOS M6 Mark II - RAW (16:9).CR3
EOS M6 Mark II	C-RAW (16:9)	30.85	co	2f766ce3b220a16430be3bcca96da58e3567cc7a04d7c46a18770f56b5a70dd1	https://raw.pixls.us/getfile.php/3718/nice/Canon - EOS M6 Mark II - C-RAW (16:9).CR3
EOS M6 Mark II	RAW (1:1)	45.72	co	6a7d52f7ae5e12b58cfebd39d82e8d71f35e6c6216775569eea7a7e168f83fac	https://raw.pixls.us/getfile.php/3719/nice/Canon - EOS M6 Mark II - RAW (1:1).CR3
EOS Rebel SL3	3:2	14.92	co	6f26a2e4ea5a3e3b859662c9b01da6b24731413835aa601065bff1d7f30c6092	https://raw.pixls.us/getfile.php/3738/nice/Canon - EOS Rebel SL3 - 3:2.CR3
EOS M50 Mark II	3:2	32.76	co	1a3c11d85f48b8c644664b505f69fbdd75eb51270bb8ab556dbc660f0487e957	https://raw.pixls.us/getfile.php/4430/nice/Canon - EOS M50 Mark II - 3:2.CR3
EOS R	3:2	30.14	co	89bd55532b0cceb5efa360e97827ba35c2076bce0de4675f3a4413a883dac880	https://raw.pixls.us/getfile.php/4515/nice/Canon - EOS R - 3:2.CR3
EOS R	3:2	15.59	co	1b3efe0664a28a0decb53e225cbfecdbc0dd27d85abdc4683fc2a4add5129b4d	https://raw.pixls.us/getfile.php/4543/nice/Canon - EOS R - 3:2.CR3
EOS R	3:2	27.70	co	cfd118af4477ef37538eb953421572a7a5c80694e59764049223107cc0c9ae83	https://raw.pixls.us/getfile.php/4611/nice/Canon - EOS R - 3:2.CR3
EOS R	3:2	56.06	co	4b0809c4fca8c00d84df0a1b0ebbe4959784e50bf865616f151e67d76a9e4b01	https://raw.pixls.us/getfile.php/4643/nice/Canon - EOS R - 3:2.CR3
EOS 90D	3:2	33.75	co	e47981d90142291a2bd7ba5a3dea51a25fff72ad3dad83dd2d2698f3ef5f59a8	https://raw.pixls.us/getfile.php/4649/nice/Canon - EOS 90D - 3:2.CR3
EOS 90D	3:2	18.61	co	c8c918b2d1a53e64d7d5009ebac89a920dbba5f766c2f396bb4ec95312b21034	https://raw.pixls.us/getfile.php/4650/nice/Canon - EOS 90D - 3:2.CR3
EOS-1D X Mark III	3:2	9.70	co	e5755d1414a2dd51fb0120b272058f00b0199861646070c00304d927eb119560	https://raw.pixls.us/getfile.php/4654/nice/Canon - EOS-1D X Mark III - 3:2.CR3
EOS-1D X Mark III	3:2	20.30	co	8f38b9de90eaebefcd54022fcbfdf38e05fb86831c4c976c8ac05c599e63535b	https://raw.pixls.us/getfile.php/4655/nice/Canon - EOS-1D X Mark III - 3:2.CR3
EOS M50	3:2	14.16	co	27a88fdae82516ba136e12c2cc9b934f25dbaaac24d64ab4e5517f8524463594	https://raw.pixls.us/getfile.php/4656/nice/Canon - EOS M50 - 3:2.CR3
EOS M50	3:2	27.04	co	1ba9ad6b51b315b88820eb0fe5fd7f52bc136ba37b1a5ca76825ebfe25b18058	https://raw.pixls.us/getfile.php/4657/nice/Canon - EOS M50 - 3:2.CR3
EOS R6	3:2	5.03	co	74abb0a113d075ad9887a058082f40dd2a938c4813a08474d82356f11a027778	https://raw.pixls.us/getfile.php/4659/nice/Canon - EOS R6 - 3:2.CR3
EOS R6	3:2	10.69	co	4775df76433b1e5844bc7a42b95d93efc8438c0a4cd9681e120e23fe3e3007e8	https://raw.pixls.us/getfile.php/4660/nice/Canon - EOS R6 - 3:2.CR3
EOS R6	3:2	9.36	co	6156ee9cfd1a61e08719a8309095d05162891fd2adb8dd1505b31d4716dcee05	https://raw.pixls.us/getfile.php/4661/nice/Canon - EOS R6 - 3:2.CR3
EOS R6	3:2	21.84	co	81fab349ae9080fd0172583b7fd5ea36806e95ffa434909d2ccc6527dde34ee6	https://raw.pixls.us/getfile.php/4662/nice/Canon - EOS R6 - 3:2.CR3
EOS R	3:2	11.58	co	c1f07fa57aa76290df640a15f2a1a74deb21519b0c99051941c47b36c685246d	https://raw.pixls.us/getfile.php/4663/nice/Canon - EOS R - 3:2.CR3
EOS R	3:2	7.63	co	90bbf397b592f9ce9799477df4affbdf0025578c07eac26f928696b0d40d5121	https://raw.pixls.us/getfile.php/4664/nice/Canon - EOS R - 3:2.CR3
EOS R	3:2	23.53	co	08ae87dd40cf051d2073d0eb2309548297ce8780e0d956bd766fe36dc561d7d1	https://raw.pixls.us/getfile.php/4667/nice/Canon - EOS R - 3:2.CR3
EOS R	3:2	13.53	co	78ef0efef541c2618b9f95915e825726fc31b06f7d61149167f5af620f6b4c30	https://raw.pixls.us/getfile.php/4668/nice/Canon - EOS R - 3:2.CR3
EOS RP	3:2	7.05	co	4a859ab137f792aedaf3416b0aad1497ebaab02052a49453902e226699154aa7	https://raw.pixls.us/getfile.php/4671/nice/Canon - EOS RP - 3:2.CR3
EOS RP	3:2	14.70	co	bd3270610593d37ff8a399908bb9406a4e32f9151d55bf19ac1cf8f10d787b46	https://raw.pixls.us/getfile.php/4672/nice/Canon - EOS RP - 3:2.CR3
EOS RP	3:2	12.14	co	7d4ba45dc9264d598336133593c677b09774bcdf13b602ee770e72415a652a16	https://raw.pixls.us/getfile.php/4673/nice/Canon - EOS RP - 3:2.CR3
EOS RP	3:2	26.17	co	dcbd0f6f9929de2e2331b0fd10a9d01e7cfd04c5a5e4038456de1647d714cdf2	https://raw.pixls.us/getfile.php/4674/nice/Canon - EOS RP - 3:2.CR3
EOS R5	RAW, 1.6 crop, dual-pixel (3:2)	29.03	co	10a1116bd00e92314b09382b403f76706b1eeab3ce33234a6c75fe25ed289756	https://raw.pixls.us/getfile.php/4691/nice/Canon - EOS R5 - RAW, 1.6 crop, dual-pixel (3:2).CR3
EOS R5	3:2	16.59	co	dc3ef975ef029fe527ba6cafa0f899720cfdcbcfb4f590edcff81f26d499c2f0	https://raw.pixls.us/getfile.php/4692/nice/Canon - EOS R5 - 3:2.CR3
EOS R5	3:2	70.08	co	d52fca2f9233211d7912632f0f27b7284807ed3262627bfce7e4f12cf343820e	https://raw.pixls.us/getfile.php/4693/nice/Canon - EOS R5 - 3:2.CR3
EOS R5	3:2	38.75	co	21430c36387efe65bd09ac0fcd724bfd959d93dd391ec811a1b741c8663becb5	https://raw.pixls.us/getfile.php/4694/nice/Canon - EOS R5 - 3:2.CR3
EOS R5	3:2	10.89	co	88497fe7f71018ce35810e6b033fb696c7792b57e8c73e842d8326095287526a	https://raw.pixls.us/getfile.php/4695/nice/Canon - EOS R5 - 3:2.CR3
EOS R5	3:2	6.65	co	a5f4935e0331cc16003c0b1ab6c657272739e82175557aaae576e78a8262511b	https://raw.pixls.us/getfile.php/4696/nice/Canon - EOS R5 - 3:2.CR3
EOS R5	3:2	26.20	co	00b80633af35c0f85b0299a1d2ea87c6788a9007a1df8a3c5c05ea487b2549e1	https://raw.pixls.us/getfile.php/4697/nice/Canon - EOS R5 - 3:2.CR3
EOS R5	3:2	16.04	co	2deae46b816e56ba91ae7a3892ca121290e12d5b22afb11f5b05a3d8f09f759f	https://raw.pixls.us/getfile.php/4698/nice/Canon - EOS R5 - 3:2.CR3
EOS 850D	3:2	26.32	co	47f7747b74073515bdbd65015738bc31947504d68255c5377baa21f179df2486	https://raw.pixls.us/getfile.php/4867/nice/Canon - EOS 850D - 3:2.CR3
EOS 850D	3:2	29.10	co	c6e781a58fdbe97fac5b99deb878a8568904aba48de0e4c31076b4d3887e2c91	https://raw.pixls.us/getfile.php/4868/nice/Canon - EOS 850D - 3:2.CR3
EOS R3	3:2	30.80	co	295d46a4d5383895e63126f67000d4352a5bb425ee4d8b16eb6b6c284bdf7994	https://raw.pixls.us/getfile.php/5051/nice/Canon - EOS R3 - 3:2.CR3
EOS R7	3:2	30.82	co	887439cb1a45becd6a5c85fe75ae10e6c520a9f13a8b9ed077c6cf5d7c37700c	https://raw.pixls.us/getfile.php/5633/nice/Canon - EOS R7 - 3:2.CR3
EOS R7	3:2	12.88	co	10a18e3f01ca9cd93408496d3853388ef140830548bfeed4237e40f967eb9d5c	https://raw.pixls.us/getfile.php/5634/nice/Canon - EOS R7 - 3:2.CR3
EOS R7	3:2	22.61	co	c01cee1b598120668370892c16a73da915f2aaec8169c5c60a96efd98d9aa220	https://raw.pixls.us/getfile.php/5635/nice/Canon - EOS R7 - 3:2.CR3
EOS R7	3:2	56.79	co	b87079049afda620c88717e4b895bc80646428b41795f43f10ac0cc06ad0d496	https://raw.pixls.us/getfile.php/5636/nice/Canon - EOS R7 - 3:2.CR3
EOS 200D Mark II	3:2	37.32	co	4ea0cbd52b760a5654d3f431c7c9ecf8acdc62a6aa74a2cfbfe651693c740c77	https://raw.pixls.us/getfile.php/5869/nice/Canon - EOS 200D Mark II - 3:2.CR3
EOS R10	3:2	29.57	co	5d2e076d38e7835d4c4f13dc2030a913cc573a31d7199b60777d23a25ccc3ef9	https://raw.pixls.us/getfile.php/5871/nice/Canon - EOS R10 - 3:2.CR3
EOS R10	3:2	39.55	co	dd33ee51dfcb142e8954e1ce375d60786459b4194968831e65d62d86d2c0a8cb	https://raw.pixls.us/getfile.php/5873/nice/Canon - EOS R10 - 3:2.CR3
EOS R10	3:2	28.76	co	15d017f0770b3da17180077617ffe07b786a1ec2cb36297f81a82a27a54756db	https://raw.pixls.us/getfile.php/5907/nice/Canon - EOS R10 - 3:2.CR3
PowerShot G7 X Mark III	3:2	29.88	co	63ce623055dd2ac7374e0b1c645a4eabc7e181cd12c2039625f64b4e63a5ee86	https://raw.pixls.us/getfile.php/6053/nice/Canon - PowerShot G7 X Mark III - 3:2.CR3
PowerShot G7 X Mark III	3:2	20.38	co	29fa26718f2791f8dc3a69d8517d0575f8cf165492253671e7b1a5151a512f02	https://raw.pixls.us/getfile.php/6054/nice/Canon - PowerShot G7 X Mark III - 3:2.CR3
EOS R6 Mark II	3:2	28.03	co	1a93f96556aabbc4a7260750ab0a191ec7926bb978fe8428bf3465121da730d6	https://raw.pixls.us/getfile.php/6402/nice/Canon - EOS R6 Mark II - 3:2.cr3
EOS R6 Mark II	3:2	12.88	co	b9ff8d98be99bb22effe47c61906dadcb214b0909699cb4fa1ff089b2f889a07	https://raw.pixls.us/getfile.php/6403/nice/Canon - EOS R6 Mark II - 3:2.cr3
EOS R6 Mark II	3:2	21.26	co	6a82fe3b643ba42c96655108734999599c1c2f34e463951af7cc4b48325f7332	https://raw.pixls.us/getfile.php/6404/nice/Canon - EOS R6 Mark II - 3:2.cr3
EOS R6 Mark II	3:2	47.78	co	9ecb9254ff3873091a7f69e5af8509547a4d2cda3c715c1ddb4397067fd4ebc4	https://raw.pixls.us/getfile.php/6405/nice/Canon - EOS R6 Mark II - 3:2.cr3
EOS R6 Mark II	3:2	24.21	co	18a3ce780ed5433dc9b078f94bb8bd87927b0877331cce9597078f0dd4313c9f	https://raw.pixls.us/getfile.php/6406/nice/Canon - EOS R6 Mark II - 3:2.cr3
EOS R6 Mark II	3:2	11.53	co	deed19ea7b5178c70f64710c97bcdc9d21f6610c19b42a2310223e51034d4fc8	https://raw.pixls.us/getfile.php/6407/nice/Canon - EOS R6 Mark II - 3:2.cr3
EOS R6 Mark II	3:2	7.55	co	51ae1e673d2801d8a54f33dd8669c43034c506e2d355e75b26c0648e2f14a431	https://raw.pixls.us/getfile.php/6408/nice/Canon - EOS R6 Mark II - 3:2.cr3
EOS R6 Mark II	3:2	15.71	co	409eb724212abde94e18fbd3170abf3264951fab13384c36cbf6fb4f22ea4201	https://raw.pixls.us/getfile.php/6409/nice/Canon - EOS R6 Mark II - 3:2.cr3
